product,quantity,due
2,10000,1400
3,6000,1500
4,8000,1000
1,6000,1600
5,2000,2000
3,12000,2100
4,10000,1200
6,1000,1850
2,4500,1000
5,1000,1400
7,20000,700
8,30000,1200
9,10000,1350
10,8000,800
10,30000,1400
12,10000,3500
13,6000,2500
14,8000,950
11,6000,3000
15,2000,2700
13,12000,900
14,10000,2000
16,1000,1200
12,4500,5600
15,1000,900
17,20000,1450
18,30000,1400
19,10000,1100
20,8000,1700
20,20000,800
22,5000,2000
30,7000,1500
29,5500,800
28,6000,1500
25,2500,1750
26,1000,1900
27,2500,2500
21,8000,900
23,9000,1450
24,2000,1500
