product,quantity,due
1,1200,2400
27,2600,2700
13,500,1400
14,2200,2300
10,1800,2400
29,3100,1100
25,700,700
15,3200,1800
24,900,2200
12,3000,1100
25,3700,2000
7,1200,500
25,2500,2200
7,1500,2500
30,2400,600
23,600,800
12,3400,2300
11,3500,2800
24,1400,1200
11,3200,600
29,3200,2200
27,600,600
14,500,1900
22,3500,800
13,3400,2300
28,1800,1800
7,3200,2500
6,2600,800
17,800,500
17,2300,2200
22,1800,1800
15,1800,2100
9,2700,2300
3,2200,2200
20,1900,2400
14,3800,2900
26,1200,700
18,1000,900
21,2300,1900
10,1500,2900
16,600,2500
15,500,2200
20,3500,1500
26,1900,1300
3,3900,2600
20,1800,1800
30,3600,2900
4,2100,800
11,3300,1000
21,2400,500
12,1200,1100
11,1700,1700
28,3600,1200
7,2000,1900
21,3800,2500
29,1400,1900
8,600,700
26,1500,2200
4,1100,1600
28,2500,2400
30,2500,600
29,3200,1700
19,2700,2400
14,900,1300
13,3100,2700
3,1600,2900
20,3200,1600
25,2500,2800
11,1600,2500
9,2300,1500
